University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,,,,,,,,,,,
"Georgia Institute of Technology, Main Campus ...............................",44,"1,608,248","Georgia Institute of Technology, Main Campus ...............................",44,"1,714,876",Wellesley College (MA) ....................................................,44,"1,834,137","Georgia Institute of Technology, Main Campus ...............................",44,"1,858,977",Georgetown University,44,"3,298,969",,,,,,,,,,,
Case Western Reserve University (OH) ....................................................,45,"1,600,013",Swarthmore College (PA) ....................................................,45,"1,634,685","Georgia Institute of Technology, Main Campus ...............................",45,"1,889,014",Wellesley College (MA) ....................................................,45,"1,881,031",University of Iowa and Foundations,45,"3,258,492",,,,,,,,,,,
Swarthmore College (PA) ....................................................,46,"1,498,775",Wellesley College (MA) ....................................................,46,"1,576,337",Swarthmore College (PA) ....................................................,46,"1,876,669",Swarthmore College (PA) ....................................................,46,"1,845,799",University of Richmond,46,"3,150,034",,,,,,,,,,,
Wellesley College (MA) ....................................................,47,"1,468,582",Grinnell College (IA) ....................................................,47,"1,553,629","University of California, Berkeley ....................................................",47,"1,671,939","University of California, Berkeley ....................................................",47,"1,834,400",Boston University,47,"3,128,719",,,,,,,,,,,
Smith College (MA) ....................................................,48,"1,409,755",Case Western Reserve University (OH) ....................................................,48,"1,595,300",Grinnell College (IA) ....................................................,48,"1,829,521","University of California, Los Angeles ....................................................",48,"2,328,472",Georgia Institute of Technology and Related Foundations,48,"2,947,317",,,,,,,,,,,
Grinnell College (IA) ....................................................,49,"1,383,856",Smith College (MA) ....................................................,49,"1,557,427",Smith College (MA) ....................................................,49,"1,755,755",Case Western Reserve University (OH) ....................................................,49,"1,775,999",University of California Berkeley Foundation,49,"2,914,883",,,,,,,,,,,
Tufts University (MA) ....................................................,50,"1,351,166","University of California, Berkeley ....................................................",50,"1,411,707",Case Western Reserve University (OH) ....................................................,50,"1,758,570",Boston University (MA) ....................................................,50,"1,644,117",Wellesley College,50,"2,888,870",,,,,,,,,,,
"University of California, Los Angeles ....................................................",51,"1,222,823","University of California, Los Angeles ....................................................",51,"1,411,797",Boston University (MA) ....................................................,51,"1,616,004",Grinnell College (IA) ....................................................,51,"1,787,775",University of Rochester,51,"2,822,698",,,,,,,,,,,
"University of California, Berkeley ....................................................",52,"1,254,517",Boston University (MA) ....................................................,52,"1,403,061",George Washington University (DC) ....................................................,52,"1,576,508",Smith College (MA) ....................................................,52,"1,781,763",Pomona College,52,"2,777,567",,,,,,,,,,,
Boston University (MA) ....................................................,53,"1,190,512",Tufts University (MA) ....................................................,53,"1,440,527",Tufts University (MA) ....................................................,53,"1,590,045","Brigham Young University, Provo (UT) ....................................................",53,"1,581,452",Swarthmore College,53,"2,720,329",,,,,,,,,,,
George Washington University (DC) ....................................................,54,"1,305,892",George Washington University (DC) ....................................................,54,"1,375,202","Brigham Young University, Provo (UT) ....................................................",54,"1,470,770",George Washington University (DC) ....................................................,54,"1,616,357",University of California San Francisco Foundation,54,"2,718,850",,,,,,,,,,,
University of Florida ....................................................,55,"1,127,419",University of Florida ....................................................,55,"1,360,073",University of Florida ....................................................,55,"1,519,964",Tufts University (MA) ....................................................,55,"1,593,019",Virginia Commonwealth University and Affiliated Entities,55,"2,582,571",,,,,,,,,,,
Washington and Lee University (VA) ....................................................,56,"1,261,553",University of Kansas ....................................................,56,"1,310,655",Georgetown University (DC) ....................................................,56,"1,461,276",University of Kansas ....................................................,56,"1,523,065",Texas Christian University,56,"2,579,000",,,,,,,,,,,
University of Kansas ....................................................,57,"1,202,585",Washington and Lee University (VA) ....................................................,57,"1,345,356",University of Kansas ....................................................,57,"1,494,881",Georgetown University (DC) ....................................................,57,"1,528,869",George Washington University,57,"2,522,442",,,,,,,,,,,
Georgetown University (DC) ....................................................,58,"1,140,486","Brigham Young University, Provo (UT) ....................................................",58,"1,053,241",Southern Methodist University (TX) ....................................................,58,"1,425,146",Washington and Lee University (VA) ....................................................,58,"1,471,274",Trustees of Grinnell College,58,"2,505,851",,,,,,,,,,,
Southern Methodist University (TX) ....................................................,59,"1,162,415",Georgetown University (DC) ....................................................,59,"1,286,322",Texas Christian University ....................................................,59,"1,393,241",University of Florida ....................................................,59,"1,556,155",Smith College,59,"2,470,416",,,,,,,,,,,
Texas Christian University ....................................................,60,"1,110,868",Southern Methodist University (TX) ....................................................,60,"1,268,079",Washington and Lee University (VA) ....................................................,60,"1,477,923",Texas Christian University ....................................................,60,"1,486,003",Bowdoin College,60,"2,423,933",,,,,,,,,,,
